year,month,age,portfolio_end,income,taxed_income,monthly_raw_expenses,raw_expenses,net_expenses,gross_up,event
2030,2,60.08,2994452.16,181200.0,123759.6,7075.03,84900.35,-38859.25,0.0,
2030,3,60.17,3013718.56,181200.0,123759.6,7092.25,85106.98,-38652.62,0.0,
2030,4,60.25,3033108.92,181200.0,123759.6,7109.51,85314.11,-38445.49,0.0,
2030,5,60.33,3052624.03,181200.0,123759.6,7126.81,85521.75,-38237.85,0.0,
2030,6,60.42,3072264.7,181200.0,123759.6,7144.16,85729.9,-38029.7,0.0,
2030,7,60.5,3092031.75,181200.0,123759.6,7161.55,85938.55,-37821.05,0.0,
2030,8,60.58,3111925.97,181200.0,123759.6,7178.98,86147.71,-37611.89,0.0,
2030,9,60.67,3131948.2,181200.0,123759.6,7196.45,86357.38,-37402.22,0.0,
2030,10,60.75,3152099.25,181200.0,123759.6,7213.96,86567.55,-37192.05,0.0,
2030,11,60.83,3172379.95,181200.0,123759.6,7231.52,86778.24,-36981.36,0.0,
2030,12,60.92,3192791.14,181200.0,123759.6,7249.12,86989.45,-36770.15,0.0,
2031,1,61.0,3213333.65,181200.0,123759.6,7266.76,87201.16,-36558.44,0.0,
2031,2,61.08,3234008.34,181200.0,123759.6,7284.45,87413.4,-36346.2,0.0,
2031,3,61.17,3254816.04,181200.0,123759.6,7302.18,87626.15,-36133.45,0.0,
2031,4,61.25,3275757.63,181200.0,123759.6,7319.95,87839.41,-35920.19,0.0,
2031,5,61.33,3296833.95,181200.0,123759.6,7337.77,88053.2,-35706.4,0.0,
2031,6,61.42,3318045.88,181200.0,123759.6,7355.63,88267.5,-35492.1,0.0,
2031,7,61.5,3339394.29,181200.0,123759.6,7373.53,88482.33,-35277.27,0.0,
2031,8,61.58,3360880.05,181200.0,123759.6,7391.47,88697.68,-35061.92,0.0,
2031,9,61.67,3382504.06,181200.0,123759.6,7409.46,88913.55,-34846.05,0.0,
2031,10,61.75,3404267.19,181200.0,123759.6,7427.5,89129.95,-34629.65,0.0,
2031,11,61.83,3426170.35,181200.0,123759.6,7445.57,89346.88,-34412.72,0.0,
2031,12,61.92,3448214.43,181200.0,123759.6,7463.69,89564.34,-34195.26,0.0,
2032,1,62.0,3461669.16,2400.0,1639.2,6100.0,73200.0,71560.8,104774.23,Retirement
2032,2,62.08,3477710.46,32400.0,22129.2,6100.0,73200.0,51070.8,74774.23,Retirement-SS
2032,3,62.17,3493833.23,32400.0,22129.2,6114.85,73378.16,51248.96,75035.07,
2032,4,62.25,3510037.94,32400.0,22129.2,6129.73,73556.75,51427.55,75296.55,
2032,5,62.33,3526325.08,32400.0,22129.2,6144.65,73735.77,51606.57,75558.67,
